1,E05553,E05553,0
1,E06926,E05553,3067
1,E10209,E06926,2321
1,E10922,E10209,1351
1,E08425,E10922,2750
1,E10017,E08425,2796
1,E12037,E10017,4936
2,E11474,E05553,106635
3,E03450,E11474,45452
4,E06153,E03450,22931
4,E04641,E06153,2801
4,E10839,E04641,3270
5,E08596,E06153,72544
5,E04004,E08596,2210
6,E02203,E08596,263705
7,E09512,E02203,34012
7,E04701,E09512,8800
8,E02209,E09512,189917
9,E07427,E02209,59118
10,E08380,E07427,16786
10,E02237,E08380,3127
10,E11879,E02237,1999
10,E05578,E11879,987
10,E05060,E05578,739
10,E03655,E05060,817
10,E04723,E08380,4516
11,E09277,E08380,348375
12,E05246,E09277,30896
13,E10470,E05246,65130
14,E07908,E10470,57625
14,E09449,E07908,7052
14,E05717,E09449,1431
14,E05977,E05717,9004
15,E10133,E07908,277641
16,E07776,E10133,227855
16,E07302,E07776,872
16,E07226,E07776,3589
16,E06947,E07226,2482
16,E08373,E06947,1947
16,E06452,E06947,2464
16,E04070,E08373,2993
16,E03986,E04070,1524
16,E07371,E03986,401
16,E06683,E04070,1713
16,E04417,E07371,2110
16,E03820,E04417,1801
16,E06905,E06683,3393
16,E01166,E06905,3151
16,E01177,E01166,861
16,E06111,E01177,1672
16,E05704,E01166,1963
16,E01185,E05704,2242
16,E08486,E01185,2069
16,E09962,E06905,4373
16,E09261,E07302,6565
16,E07486,E09261,6615
17,E03568,E07776,429982
17,E06999,E03568,4950
17,E07005,E06999,2386
17,E03296,E07005,2593
17,E03960,E03296,958
17,E04354,E03960,1745
17,E04557,E04354,499
17,E01352,E06999,3620
17,E06997,E01352,2213
17,E05385,E06997,2580
17,E07531,E06997,2804
17,E11762,E07005,8982
17,E03925,E11762,7298
18,E01365,E03568,28344
19,E04897,E01365,337264
20,E12202,E04897,100270
21,E04110,E12202,28145
21,E08855,E04110,933
22,E02180,E04110,64847
23,E03186,E02180,197761
24,E09997,E03186,103824
24,E01367,E09997,5408
25,E01362,E09997,33323
26,E06028,E01362,64148
27,E01393,E06028,93403
28,E04659,E01393,140184
29,E12200,E04659,107940
30,E04626,E12200,318036
31,E07898,E04626,67115
32,E01235,E07898,139758
33,E12276,E01235,96547
34,E08859,E12276,800111
35,E08579,E08859,165689
36,E10452,E08579,96774
37,E01410,E10452,154346
38,E07651,E01410,420569
38,E12163,E07651,899
38,E12330,E12163,635
38,E09651,E12330,733
38,E01738,E07651,2078
38,E06705,E12330,2897
38,E07340,E01738,3436
39,E07154,E07651,32136
40,E12810,E07154,56392
41,E11808,E12810,490487
42,E11874,E11808,55771
43,E05906,E11874,86046
44,E10146,E05906,142035
44,E02158,E10146,4616
45,E05301,E10146,609134
45,E12359,E05301,2371
45,E01255,E05301,4290
45,E04667,E01255,1487
45,E10460,E04667,2045
45,E10320,E04667,2202
45,E10655,E10460,2465
45,E03539,E10320,6650
46,E04727,E05301,206363
47,E01363,E04727,161053
48,E06163,E01363,73275
49,E01366,E06163,50950
50,E11732,E01366,515877
51,E09224,E11732,43968
51,E05658,E09224,2976
51,E08870,E05658,1467
52,E12657,E09224,234106
52,E04160,E12657,1091
52,E04551,E04160,1734
52,E05122,E04551,2930
52,E06785,E05122,1927
52,E07082,E06785,726
52,E03597,E06785,740
52,E03785,E03597,1316
52,E05452,E07082,1430
52,E11108,E03785,2581
52,E09515,E05452,4611
52,E09950,E09515,824
52,E10463,E09515,2326
52,E07834,E09950,3445
52,E10829,E07834,2623
52,E03802,E10829,6907
52,E06820,E04551,7533
53,E09956,E12657,15817
54,E05506,E09956,70623
55,E06634,E05506,141202
55,E08234,E06634,9015
56,E08999,E06634,39870
57,E10889,E08999,78217
58,E08564,E10889,78031
59,E05989,E08564,592800
59,E10472,E05989,5491
59,E08292,E10472,7699
60,E12842,E05989,19220
61,E10978,E12842,315644
62,E02142,E10978,283790
63,E08840,E02142,204596
64,E07056,E08840,248745
64,E08509,E07056,2225
64,E11120,E07056,3015
65,E11829,E07056,189132
65,E04573,E11829,2078
65,E02156,E04573,3565
66,E01870,E11829,302868
66,E11948,E01870,8913
66,E11934,E11948,4708
66,E07155,E11934,2080
66,E01954,E11934,2766
66,E09497,E01954,2728
66,E12376,E01954,3077
66,E08058,E12376,2107
66,E01934,E08058,3636
66,E01939,E01934,1836
66,E12367,E01939,1861
66,E01864,E01939,2683
66,E05995,E01864,1611
66,E01791,E05995,2411
66,E06969,E05995,2462
66,E08479,E06969,2004
66,E01840,E06969,2442
66,E08322,E01840,1516
66,E06711,E01791,2616
66,E01811,E01840,2688
66,E12153,E08322,3510
66,E12543,E12153,2683
66,E01814,E08479,7899
66,E09731,E09497,8005
67,E08011,E01870,47050
67,E01849,E08011,9720
67,E01978,E01849,8587
67,E01903,E01978,1585
67,E05711,E01903,1605
67,E08935,E01978,5739
68,E01871,E08011,18679
69,E01919,E01871,75645
70,E09943,E01919,768636
71,E01706,E09943,202368
72,E02880,E01706,387536
73,E09278,E02880,55258
74,E10356,E09278,184839
75,E01907,E10356,127486
76,E08765,E01907,63235
76,E08696,E08765,3192
77,E02879,E08765,257069
78,E12018,E02879,51966
79,E05790,E12018,10468
79,E02605,E05790,2781
79,E06286,E02605,992
79,E12902,E02605,1114
79,E02603,E06286,1963
79,E07925,E02603,5348
80,E06472,E05790,84137
80,E07153,E06472,2385
80,E06864,E07153,2130
80,E02701,E06864,1208
80,E07252,E02701,1847
80,E08955,E07252,918
80,E10926,E08955,1364
80,E02647,E10926,1575
80,E12808,E06472,2690
80,E02638,E02701,2728
80,E06062,E02638,825
80,E02717,E06062,768
80,E02413,E02717,906
80,E07736,E07252,3117
80,E10447,E07736,3565
80,E05514,E10447,1933
80,E04805,E05514,2255
80,E07466,E04805,1834
80,E10998,E07466,2182
80,E07891,E04805,2811
80,E08384,E07891,951
80,E08661,E02717,5057
80,E02663,E08661,4546
80,E10774,E02663,8730
80,E10064,E10774,2411
80,E09203,E10774,3479
80,E11380,E10064,9065
81,E12453,E06472,37061
81,E06838,E12453,5329
82,E07120,E12453,72651
83,E07838,E07120,1370520
83,E08861,E07838,1760
83,E07377,E08861,1611
83,E04096,E07377,1595
83,E10694,E04096,2349
83,E04720,E10694,1820
83,E02102,E04720,1620
83,E02110,E02102,3359
83,E08712,E02110,3074
83,E09073,E07838,3724
83,E08210,E09073,2609
83,E05754,E04096,4261
83,E06156,E05754,2126
83,E07256,E09073,4482
83,E02113,E07256,8475
83,E08821,E02113,4598
83,E08450,E06156,8508
84,E10951,E07838,53292
